Weight,Last,First,Conference,Allocated,ConfSeed,ConfFinish,Finish,ELO,Percent,Bonus,ELORank,Seed,Intermat,Coaches,RPI,Year,University,Record,Line
141,Polkowske,Ben,Big 12,,9,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
141,Carr,Michael,Big Ten,,3,2,cons 12,1401.78,74.07,10,9,11,12,14,7,Fr.,ILL,20-7,21
141,Diehl,Ryan,Big Ten,,NS,8,cons 24,1365.38,46.15,41.67,19,NS,NR,31,31,,MD,13-14,7
141,Gasca,Javier,Big Ten,,NS,cons 16,NQ,1344.82,46.15,50,29,NQ,NR,NR,30,,,,
141,Lee,Nick,Big Ten,,2,3,5,1460.41,82.5,75.76,6,8,8,8,4,Fr.,PSU,33-7,8
141,Limmex,Nate,Big Ten,,5,4,cons 24,1333.40,61.90,30.77,NR,15,16,15,20,So.,PUR,26-16,29
141,McKenna,Joey,Big Ten,,1,1,3,1475,91.3,42.86,4,4,4,5,NR,Jr.,OHST,21-2,16
141,McKenna,Alec,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
141,Profaci,Salvatore,Big Ten,,NS,cons 12,NQ,,,,NR,NQ,NR,28,22,,MICH,,
141,Red,Chad,Big Ten,,4,7,7,1385.89,69.44,32,13,NS,19,12,10,Fr.,NEB,26-11,26
141,Stickley,Eli,Big Ten,,8,6,cons 24,1336.46,60.00,28.57,NR,NS,NR,22,18,,WISC,20-14,30
141,Thorn,Thomas,Big Ten,,6,cons 12,cons 32,1372.99,58.06,83.33,16,NS,15,13,16,Jr.,MINN,18-13,27
141,Turk,Vincent,Big Ten,,NS,5,cons 16,1352.17,61.54,43.75,27,NS,18,NR,NR,So.,IOWA,16-10,3
141,Van Brill, Mike,Big Ten,,NS,cons 16,NQ,1359.56,50,35.71,23,NQ,NR,NR,NR,,,,
141,Weaver,Cole,Big Ten,,7,cons 12,cons 16,1347.7,69.23,25.93,28,16,17,16,11,Jr.,IND,26-12,4
141,Antrassian,Carl,EIWA,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
141,Ascolese,Jp,EIWA,,NS,7,NQ,,,,,NQ,NR,NR,NR,,,,
141,Clarke,Kizhan,EIWA,,7,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
141,D’Arcy,Pat,EIWA,,9,8,NQ,,,,,NQ,NR,NR,NR,,,,
141,Diakomihalis,Yianni,EIWA,,1,1,1,1480.2,97.37,70.27,2,3,3,3,3,Fr.,COR,34-1,17
141,Flores,Julian,EIWA,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
141,Gil,Nicholas,EIWA,,4,4,cons 16,1371.56,76.19,40.63,17,14,14,18,13,Jr.,NAVY,33-10,20
141,Harry,Austin,EIWA,,8,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
141,Jaffe,Alexander,EIWA,,5,6,NQ,1394.09,71.43,64,11,NQ,NR,NR,26,,,,
141,Karam,Luke,EIWA,,3,3,cons 24,1388.28,70,28.57,12,13,13,20,14,Fr.,LEH,21-9,13
141,Kulp,Brett,EIWA,,10,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
141,Russ,Joe,EIWA,,6,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
141,Salvo,Zeke,EIWA,,NS,5,NQ,,,,,NQ,NR,NR,NR,,,,
141,Smith,Tyler,EIWA,,2,2,cons 12,1415.39,82.86,55.17,8,12,11,11,8,Sr.,BUCK,29-6,12
141,Vespa,Vinny,EIWA,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
141,Williams,Shaun,EIWA,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
141,Anthony,Tejon,EWL,,NS,4,cons 24,1322.67,58.33,42.86,NR,NS,NR,NR,NR,,GMU,22-15,14
141,Cheek,Evan,EWL,,3,1,cons 32,1369.7,69.7,69.57,18,NS,NR,30,21,,CSU,24-10,23
141,Dippery,Tyson,EWL,,2,5,NQ,1361.25,70.37,47.37,21,NQ,NR,23,NR,,RID,,
141,Hagan,Nate,EWL,,NS,6,NQ,,,,,NQ,NR,NR,NR,,,,
141,Oram,Shawn,EWL,,NS,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
141,Shoop,Kyle,EWL,,4,3,cons 32,1358.13,71.43,68.57,24,NS,NR,26,27,,LH,35-14,33
141,Zacherl,Brock,EWL,,1,2,cons 12,1401.07,90.63,55.17,10,7,7,6,17,Jr.,CLAR,29-3,25
141,Eierman,Jaydin,MAC,,1,1,4,1495.22,91.89,76.47,1,2,2,2,1,So.,MIZZ,32-3,32
141,Estevez,Jason,MAC,,NS,6,NQ,,,,,NQ,NR,NR,NR,,,,
141,Guillen,Mario,MAC,,NS,4,NQ,,,,,NQ,NR,NR,NR,,,,
141,Madrigal,Alex,MAC,,3,7,cons 32,1336.07,66.67,50.00,NR,NS,NR,21,15,,ODU,20-10,15
141,Perry,Sa`Derian,MAC,,NS,3,8,1329.69,48.65,38.89,NR,NS,NR,NR,33,,EMU,18-19,6
141,Rooney,Tim,MAC,,4,5,NQ,,,,NR,NQ,NR,NR,32,,,,
141,Rubino,Anthony,MAC,,NS,8,NQ,,,,,NQ,NR,NR,NR,,,,
141,Smith,Mason,MAC,,2,2,cons 24,1381.82,81.58,45.16,14,10,10,10,5,So.,CMU,32-7,28
141,Hathaway, Jack,Pac 12,,4,3,NQ,1340.51,60,52.38,33,NQ,NR,NR,NR,,,,
141,Locsin, Isaiah,Pac 12,,3,cons 06,NQ,1341.28,62.07,50,31,NQ,NR,NR,NR,,,,
141,Rohlfing,Russell,Pac 12,,2,2,cons 32,1321.94,62.86,50.00,NR,NS,NR,26,24,,CSUB,22-13,10
141,Schilling,Colton,Pac 12,,1,1,cons 32,1364.59,66.67,92.86,20,NS,NR,29,29,,POLY,14-7,2
141,Villarreal,Nikko,Pac 12,,NS,4,NQ,,,,,NQ,NR,NR,NR,,,,
141,Enriquez,Irvin,SoCon,,4,1,cons 33,1318.99,56.67,52.94,NR,NS,NR,24,NR,,APP,17-13,19
141,Gudenburr,Douglas,SoCon,,3,4,NQ,,,,,NQ,NR,NR,NR,,,,
141,Hulcher,Michael,SoCon,,8,cons 08,NQ,,,,,NQ,NR,NR,NR,,,,
141,Leach,Dakota,SoCon,,5,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
141,Pongracz, Michael,SoCon,,1,3,NQ,1353.2,63.33,52.63,26,NQ,NR,NR,NR,,,,
141,Runzo,Dustin,SoCon,,6,cons 06,NQ,,,,,NQ,NR,NR,NR,,,,
